Obs step 0: [0.05708872154355049, -0.010116561315953732, 1.0032389163970947, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.2799112796783447, 0.40511655807495117, -0.9732389450073242, 1.0, 9.451872028876096e-05, -0.00017020398809108883, -0.0001223561557708308, -0.0004207794554531574, -6.391586794052273e-06, 0.00018748654110822827, -0.0001704423048067838, 0.0003403519804123789, 0.0003328951424919069, 0.7341656684875488]
Obs step 1: [0.08612479269504547, 0.0006723236292600632, 0.9991276264190674, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.25087523460388184, 0.39432770013809204, -0.9691276550292969, 0.999403178691864, 0.02746344916522503, 0.019409889355301857, -0.007891620509326458, 0.025232918560504913, -0.008109858259558678, 0.047990161925554276, -0.003221359569579363, -0.03695881739258766, -0.0388597808778286, -0.9929640889167786]
Obs step 2: [0.0648588165640831, 0.006427450105547905, 1.0007377862930298, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.2721411883831024, 0.3885725736618042, -0.9707378149032593, 0.9992448687553406, 0.014383516274392605, 0.035517510026693344, -0.006428548600524664, -0.021859226748347282, 0.021019265055656433, 0.05007648468017578, 0.018560634925961494, -0.07149095833301544, -0.010597250424325466, -0.3060244917869568]
Obs step 3: [0.1139271929860115, 0.015689872205257416, 0.9926999807357788, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.2230728268623352, 0.37931013107299805, -0.9627000093460083, 0.9969906210899353, 0.052974700927734375, 0.056045640259981155, -0.00789242796599865, -0.0431879498064518, -0.02111247554421425, 0.0884808599948883, 0.06101221963763237, -0.11587733030319214, -0.04000653699040413, -0.9891973733901978]
Obs step 4: [0.07433338463306427, 0.02486162632703781, 0.9972522854804993, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.26266664266586304, 0.37013837695121765, -0.9672523140907288, 0.9969961047172546, 0.02342587523162365, 0.07371170818805695, -0.004064928274601698, -0.052736978977918625, 0.019160112366080284, 0.06895855814218521, 0.06512174755334854, -0.1499657928943634, -0.024275245144963264, -0.5180152654647827]
Obs step 5: [0.10828053951263428, 0.03700747713446617, 0.9908660650253296, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.22871947288513184, 0.3579925298690796, -0.9608660936355591, 0.9944278001785278, 0.04462328180670738, 0.09543448686599731, 0.0037924081552773714, -0.042756516486406326, -0.02273860201239586, 0.07988311350345612, 0.10681486129760742, -0.19609707593917847, -0.06644213944673538, -0.9793573021888733]
Obs step 6: [0.06808680295944214, 0.04885473474860191, 0.9941087961196899, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.268913209438324, 0.34614527225494385, -0.9641088247299194, 0.9926512241363525, 0.01526584755629301, 0.11573559045791626, 0.03187107667326927, -0.021688783541321754, 0.01606445387005806, 0.05962098762392998, 0.10532429069280624, -0.2346244901418686, -0.02455274760723114, 0.14871644973754883]
Obs step 7: [0.07384839653968811, 0.05920702591538429, 0.9903833866119385, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.263151615858078, 0.33579298853874207, -0.960383415222168, 0.9895775318145752, 0.020478669553995132, 0.13813471794128418, 0.03515235334634781, -0.043294478207826614, 0.013553093187510967, 0.07138283550739288, 0.132155641913414, -0.28205111622810364, -0.02604731358587742, -0.9893205761909485]
Obs step 8: [0.08294497430324554, 0.07288739085197449, 0.9868214130401611, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.2540550231933594, 0.3221126198768616, -0.9568214416503906, 0.9860562682151794, 0.01322659756988287, 0.1619618982076645, 0.035866543650627136, -0.000910268456209451, -0.029447104781866074, 0.031503330916166306, 0.13508884608745575, -0.32921838760375977, -0.0714653953909874, 0.844942569732666]
Obs step 9: [0.07943160086870193, 0.08382496237754822, 0.9820150136947632, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.2575684189796448, 0.31117504835128784, -0.9520150423049927, 0.9814862608909607, 0.0183316171169281, 0.18473488092422485, 0.047134898602962494, 0.0016772588714957237, -0.00018961707246489823, 0.07643885165452957, 0.1421978920698166, -0.37688523530960083, -0.06235525384545326, -0.9946544766426086]
Obs step 10: [0.06663113087415695, 0.09545601159334183, 0.9799227118492126, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.27036887407302856, 0.29954400658607483, -0.9499227404594421, 0.9769799709320068, -0.003050031838938594, 0.20831263065338135, 0.045898113399744034, 0.03184661269187927, -0.016651680693030357, 0.029858030378818512, 0.13306936621665955, -0.42352038621902466, -0.08096755295991898, 0.9881206750869751]
Obs step 11: [0.04443668574094772, 0.10517808049917221, 0.9760620594024658, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.2925633192062378, 0.28982192277908325, -0.9460620880126953, 0.9721114635467529, -0.017779409885406494, 0.2309170663356781, 0.03688549995422363, 0.0018524948973208666, 0.02586941421031952, 0.05729631334543228, 0.17418192327022552, -0.47193771600723267, -0.10763218998908997, -0.9965611100196838]
Obs step 12: [0.014963217079639435, 0.11661481857299805, 0.9724723696708679, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.3220368027687073, 0.278385192155838, -0.9424723982810974, 0.9643630981445312, -0.05112569034099579, 0.25399643182754517, 0.05362683907151222, 0.0043960800394415855, 0.025239842012524605, 0.0089966906234622, 0.22235184907913208, -0.5202666521072388, -0.11142772436141968, 1.0]
Obs step 13: [-0.019152984023094177, 0.12839993834495544, 0.9658220410346985, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.3561530113220215, 0.2666000723838806, -0.935822069644928, 0.9567895531654358, -0.07999999821186066, 0.27811887860298157, 0.028348810970783234, -0.0441616028547287, 0.07403215020895004, 0.017665013670921326, 0.271675705909729, -0.5698573589324951, -0.1523626446723938, -0.9872767925262451]
Obs step 14: [-0.07677046209573746, 0.14514532685279846, 0.9541214108467102, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.413770467042923, 0.2498546838760376, -0.9241214394569397, 0.9423472285270691, -0.12658251821994781, 0.30894410610198975, 0.022630376741290092, -0.09323247522115707, 0.12303191423416138, -0.0299626924097538, 0.32115140557289124, -0.618962824344635, -0.13305792212486267, 1.0]
Obs step 15: [-0.10099425911903381, 0.16111551225185394, 0.9421070218086243, 0.3370000123977661, 0.39500001072883606, 0.029999999329447746, 0.4379942715167999, 0.23388449847698212, -0.9121070504188538, 0.930147111415863, -0.15380069613456726, 0.3334205448627472, -0.0015623692888766527, -0.13157346844673157, 0.15501008927822113, -0.028562935069203377, 0.3706268072128296, -0.6688491702079773, -0.18212293088436127, -0.879999041557312]
Obs step 0: [0.056853003799915314, -0.009895989671349525, 1.0032598972320557, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.2931469976902008, 0.3598959743976593, -0.9732599258422852, 0.00013395700079854578, 0.00022503710351884365, 4.394215648062527e-05, 0.0001073253879440017, -0.00038456046604551375, 0.00015526228526141495, -1.0]
Obs step 1: [0.15344685316085815, 0.013652371242642403, 0.9873985648155212, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.19655314087867737, 0.3363476097583771, -0.9573985934257507, -0.006131662055850029, -0.09551800042390823, 0.05619829148054123, 0.09773427993059158, -0.08147461712360382, -0.07409500330686569, 0.7683219909667969]
Obs step 2: [0.12021476030349731, 0.04149337857961655, 0.9872925281524658, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.2297852337360382, 0.3085066080093384, -0.9572925567626953, 0.05790244787931442, -0.0020005665719509125, 0.14654630422592163, 0.12537948787212372, -0.1608400195837021, -0.15763676166534424, -0.9879162311553955]
Obs step 3: [0.20643384754657745, 0.06201046332716942, 0.9614415168762207, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.14356614649295807, 0.2879895269870758, -0.9314415454864502, 0.09636754542589188, -0.07183397561311722, 0.24163579940795898, 0.22318407893180847, -0.1721067875623703, -0.19173641502857208, 0.8507810831069946]
Obs step 4: [0.16522228717803955, 0.09284807741641998, 0.9590164422988892, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.18477770686149597, 0.25715190172195435, -0.9290164709091187, 0.18598265945911407, 0.025726934894919395, 0.33992162346839905, 0.21511682868003845, -0.2577684223651886, -0.27793389558792114, -0.9876115918159485]
Obs step 5: [0.19970554113388062, 0.10438211262226105, 0.9381961822509766, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.1502944529056549, 0.24561788141727448, -0.908196210861206, 0.11121387034654617, 0.020193684846162796, 0.43442946672439575, 0.3110867738723755, -0.3377261161804199, -0.36142823100090027, 0.9810452461242676]
Obs step 6: [0.15713876485824585, 0.13446471095085144, 0.9279190301895142, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.19286122918128967, 0.21553528308868408, -0.8979190587997437, 0.20507405698299408, 0.11639638245105743, 0.5327541828155518, 0.24778130650520325, -0.43337035179138184, -0.3836911916732788, -0.9893019795417786]
Obs step 7: [0.25220537185668945, 0.1389208734035492, 0.8870007991790771, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.09779462218284607, 0.21107912063598633, -0.8570008277893066, 0.10795922577381134, 0.019454658031463623, 0.6100838780403137, 0.29676109552383423, -0.48250940442085266, -0.47600701451301575, 1.0]
Obs step 8: [0.20022259652614594, 0.17405658960342407, 0.8783079385757446, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.1497773975133896, 0.17594340443611145, -0.8483079671859741, 0.2050522118806839, 0.10682711005210876, 0.7075614333152771, 0.3184991478919983, -0.5772364139556885, -0.5287078022956848, -0.9876744151115417]
Obs step 9: [0.281484454870224, 0.1852395385503769, 0.8258472084999084, 0.3499999940395355, 0.3499999940395355, 0.029999999329447746, 0.06851553916931152, 0.16476045548915863, -0.7958472371101379, 0.14268311858177185, 0.011224957183003426, 0.7848620414733887, 0.32179853320121765, -0.6521527767181396, -0.6200137138366699, 1.0]
